,Source,,Relation,,Target
 ● ,N_Empedocles, ● ,is family of, ● ,N_Callicratides
 ● ,N_Empedocles, ● ,refers to, ● ,N_Aidoneus
 ● ,N_Empedocles, ● ,is from, ● ,G_Sicily
 ● ,N_Empedocles, ● ,is associated with, ● ,N_Agrigentines
 ● ,N_Empedocles, ● ,refers to, ● ,ND_Hera
 ● ,N_Empedocles, ● ,is associated with, ● ,G_Rome
 ● ,N_Empedocles, ● ,traveled to, ● ,G_Syracuse
 ● ,N_Empedocles, ● ,is adversary of, ● ,N_Athenians
 ● ,N_Empedocles, ● ,is associated with, ● ,N_Peisianax
 ● ,N_Empedocles, ● ,is family of, ● ,N_Meton
 ● ,N_Empedocles, ● ,traveled to, ● ,G_Aetna M.
 ● ,N_Empedocles, ● ,traveled to, ● ,G_Thurii
 ● ,N_Empedocles, ● ,is family of, ● ,N_Archinomus
 ● ,N_Empedocles, ● ,is friend of, ● ,N_Pausanians
 ● ,N_Empedocles, ● ,is teacher of, ● ,N_Gorgias
 ● ,N_Epaminondas, ● ,traveled to, ● ,G_Mantinea
 ● ,N_Epaminondas, ● ,is associated with, ● ,N_Gryllus
 ● ,N_Epaminondas, ● ,is associated with, ● ,N_Hegesilaus
 ● ,N_Epaminondas, ● ,is associated with, ● ,N_Cephisodorus
 ● ,N_Ephesians, ● ,is from, ● ,G_Ephesus
 ● ,N_Ephesians, ● ,is adversary of, ● ,N_Hermodorus
 ● ,N_Ephorus, ● ,refers to, ● ,N_Periander
 ● ,N_Ephorus, ● ,refers to, ● ,N_Anacharsis
 ● ,N_Ephorus, ● ,refers to, ● ,N_Gryllus
 ● ,N_Ephorus, ● ,refers to, ● ,N_Cephisodorus
 ● ,N_Ephorus, ● ,refers to, ● ,G_Mantinea
 ● ,N_Ephorus, ● ,refers to, ● ,N_Hegesilaus
 ● ,N_Ephorus, ● ,refers to, ● ,N_Seven Sages
 ● ,N_Epicharmus, ● ,traveled to, ● ,G_Megara Hyblaea
 ● ,N_Epicharmus, ● ,is from, ● ,G_Cos
 ● ,N_Epicharmus, ● ,traveled to, ● ,G_Megara (Attica)
 ● ,N_Epicharmus, ● ,traveled to, ● ,G_Syracuse
 ● ,N_Epicharmus, ● ,is family of, ● ,N_Helothales
 ● ,N_Epicharmus, ● ,traveled to, ● ,G_Sicily
 ● ,N_Epicurus, ● ,studied the work of, ● ,N_Pyrrho
 ● ,N_Epicurus, ● ,is family of, ● ,N_Aristobulus
 ● ,N_Epicurus, ● ,refers to, ● ,N_Zeno II
 ● ,N_Epicurus, ● ,refers to, ● ,N_Philonides
 ● ,N_Epicurus, ● ,studied the work of, ● ,N_Theodorus
 ● ,N_Epicurus, ● ,refers to, ● ,N_Protagoras
 ● ,N_Epicurus, ● ,refers to, ● ,N_Persaeus
 ● ,N_Epigenes, ● ,is family of, ● ,N_Hermogenes II
 ● ,N_Epigenes, ● ,is family of, ● ,N_Ctesippus
 ● ,N_Epimenides, ● ,traveled to, ● ,G_Ida
 ● ,N_Epimenides, ● ,is associated with, ● ,N_Pythagoras
 ● ,N_Epimenides, ● ,is from, ● ,G_Creta
 ● ,N_Epimenides, ● ,is from, ● ,G_Cnossos
 ● ,N_Epimenides, ● ,traveled to, ● ,G_Athenae
 ● ,N_Epitimides, ● ,is teacher of, ● ,N_Paraebates
 ● ,N_Eratosthenes, ● ,sent letters to, ● ,N_Baton
 ● ,N_Eratosthenes, ● ,refers to, ● ,N_Pyrrho
 ● ,N_Eratosthenes, ● ,refers to, ● ,N_Bion
 ● ,N_Eratosthenes, ● ,refers to, ● ,N_Pherecydes
 ● ,N_Euagoras, ● ,is family of, ● ,N_Cleobulus
 ● ,N_Euanthes, ● ,refers to, ● ,N_Thales
 ● ,N_Euanthes, ● ,refers to, ● ,N_Chilon
 ● ,N_Euanthes, ● ,is from, ● ,G_Miletus
 ● ,N_Euathlus, ● ,is adversary of, ● ,N_Protagoras
 ● ,N_Eubulides, ● ,is teacher of, ● ,N_Diodorus
 ● ,N_Eubulides, ● ,is from, ● ,G_Miletus
 ● ,N_Eubulides, ● ,is teacher of, ● ,N_Alexinus
 ● ,N_Eubulides, ● ,is teacher of, ● ,N_Apollonius
 ● ,N_Eubulides, ● ,is teacher of, ● ,N_Euphantus
 ● ,N_Eubulides II, ● ,refers to, ● ,N_Socrates
 ● ,N_Eubulus III, ● ,is from, ● ,G_Bithynia
 ● ,N_Eubulus V, ● ,is adversary of, ● ,N_Xenophon
 ● ,N_Euclides, ● ,refers to, ● ,N_Crito
 ● ,N_Euclides, ● ,is teacher of, ● ,N_Ichthyas
 ● ,N_Euclides, ● ,is teacher of, ● ,N_Clinomachus
 ● ,N_Euclides, ● ,is teacher of, ● ,N_Eubulides
 ● ,N_Euclides, ● ,refers to, ● ,N_Parmenides
 ● ,N_Euclides, ● ,is from, ● ,G_Megara (Attica)
 ● ,N_Euclides, ● ,refers to, ● ,N_Alcibiades
 ● ,N_Euclides, ● ,is teacher of, ● ,N_Stilpo
 ● ,N_Euclides, ● ,refers to, ● ,N_Aeschines
 ● ,N_Eudemus, ● ,refers to, ● ,N_Thales
 ● ,N_Eudoxus, ● ,traveled to, ● ,G_Propontis
 ● ,N_Eudoxus, ● ,traveled to, ● ,G_Cyzicus
 ● ,N_Eudoxus, ● ,traveled to, ● ,G_Piraeus
 ● ,N_Eudoxus, ● ,is associated with, ● ,G_Hellas
 ● ,N_Eudoxus, ● ,is friend of, ● ,N_Theomedon
 ● ,N_Eudoxus, ● ,is associated with, ● ,N_Chonuphis
 ● ,N_Eudoxus, ● ,traveled to, ● ,G_Athenae
 ● ,N_Eudoxus, ● ,refers to, ● ,N_Myson
 ● ,N_Eudoxus, ● ,refers to, ● ,N_Thales
 ● ,N_Eudoxus, ● ,traveled to, ● ,G_Ancient Egypt (region)
 ● ,N_Eudoxus, ● ,is from, ● ,G_Cnidos
 ● ,N_Eudoxus, ● ,is associated with, ● ,N_Mausolus
 ● ,N_Eudoxus, ● ,refers to, ● ,N_Chilon
 ● ,N_Eudoxus, ● ,traveled to, ● ,G_Memphis (Egypt)
 ● ,N_Eudoxus, ● ,refers to, ● ,N_Seven Sages
 ● ,N_Eudoxus III, ● ,is family of, ● ,N_Agathocles
 ● ,N_Eudoxus III, ● ,traveled to, ● ,G_Athenae
 ● ,N_Eudoxus III, ● ,is from, ● ,G_Sicily
 ● ,N_Eugamus, ● ,refers to, ● ,N_Menodorus
 ● ,N_Eumelus, ● ,refers to, ● ,N_Plato
 ● ,N_Eumelus, ● ,refers to, ● ,G_Chalcis
 ● ,N_Eumelus, ● ,refers to, ● ,N_Aristotle
 ● ,N_Eumenes, ● ,is benefactor of, ● ,N_Arcesilaus
 ● ,N_Eumenes, ● ,is family of, ● ,N_Philetaerus
 ● ,N_Eunomus, ● ,is family of, ● ,N_Pythagoras
 ● ,N_Euphantus, ● ,is from, ● ,G_Olynthus
 ● ,N_Euphantus, ● ,refers to, ● ,N_Menedemus
 ● ,N_Euphantus, ● ,refers to, ● ,G_Oropus
 ● ,N_Euphantus, ● ,is teacher of, ● ,N_Antigonus
 ● ,N_Euphantus, ● ,refers to, ● ,N_Demetrius
 ● ,N_Euphorbus, ● ,is associated with, ● ,N_Hermotimus
 ● ,N_Euphorbus, ● ,is from, ● ,G_Phrygia region
 ● ,N_Euphorbus, ● ,is adversary of, ● ,N_Menelaus
 ● ,N_Euripides, ● ,is associated with, ● ,N_Sceptics
 ● ,N_Euripides, ● ,is associated with, ● ,G_Athenae
 ● ,N_Euripides, ● ,studied the work of, ● ,N_Heraclitus
 ● ,N_Euripides, ● ,is associated with, ● ,N_Ariston
 ● ,N_Eurylochus, ● ,is from, ● ,G_Larissa (Thessaly)
 ● ,N_Eurylochus II, ● ,is associated with, ● ,N_Menedemus
 ● ,N_Eurylochus II, ● ,is from, ● ,G_Kassandreia
 ● ,N_Eurylochus II, ● ,is associated with, ● ,N_Cleippides
 ● ,N_Eurymedon, ● ,is adversary of, ● ,N_Aristotle
 ● ,N_Eurytus, ● ,is teacher of, ● ,N_Xenophilus
 ● ,N_Eurytus, ● ,is teacher of, ● ,N_Phanton
 ● ,N_Eurytus, ● ,is from, ● ,G_Taras/Tarentum/Neptunia
 ● ,N_Eurytus, ● ,is teacher of, ● ,N_Polymnastus
 ● ,N_Eurytus, ● ,is teacher of, ● ,N_Echecrates
 ● ,N_Eurytus, ● ,is teacher of, ● ,N_Diocles
 ● ,N_Euthyphro II, ● ,is family of, ● ,N_Heraclides
 ● ,N_Euthyphro IV, ● ,is family of, ● ,N_Hippasus
 ● ,N_Euthyrphro III, ● ,refers to, ● ,N_Myson
 ● ,N_Evander, ● ,is associated with, ● ,N_Lacydes
 ● ,N_Evander, ● ,is from, ● ,G_Phocaea
 ● ,N_Exaenetus, ● ,is family of, ● ,N_Myrmex
 ● ,N_Execestides, ● ,is family of, ● ,N_Solon
 ● ,N_Favorinus, ● ,refers to, ● ,N_Hermias
 ● ,N_Favorinus, ● ,refers to, ● ,N_Mentor
 ● ,N_Favorinus, ● ,refers to, ● ,N_Eudoxus
 ● ,N_Favorinus, ● ,refers to, ● ,N_Bion
 ● ,N_Favorinus, ● ,refers to, ● ,N_Xenophanes
 ● ,N_Favorinus, ● ,refers to, ● ,N_Anaxagoras
 ● ,N_Favorinus, ● ,refers to, ● ,N_Parmenides
 ● ,N_Favorinus, ● ,refers to, ● ,N_Carneades
 ● ,N_Favorinus, ● ,refers to, ● ,N_Conon
 ● ,N_Favorinus, ● ,refers to, ● ,N_Socrates
 ● ,N_Favorinus, ● ,refers to, ● ,N_Speusippus
 ● ,N_Favorinus, ● ,refers to, ● ,G_Isthmus
 ● ,N_Favorinus, ● ,refers to, ● ,N_Demetrius
 ● ,N_Favorinus, ● ,refers to, ● ,N_Eratosthenes
 ● ,N_Favorinus, ● ,refers to, ● ,N_Cleon
 ● ,N_Favorinus, ● ,refers to, ● ,N_Meletus
 ● ,N_Favorinus, ● ,refers to, ● ,N_Eurymenes
 ● ,N_Favorinus, ● ,refers to, ● ,G_Delphi
 ● ,N_Favorinus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Favorinus, ● ,refers to, ● ,N_Demophilus
 ● ,N_Favorinus, ● ,refers to, ● ,N_Aeschines
 ● ,N_Favorinus, ● ,refers to, ● ,N_Democritus
 ● ,N_Favorinus, ● ,refers to, ● ,N_Polyeuctus
 ● ,N_Favorinus, ● ,refers to, ● ,N_Alcmaeon II
 ● ,N_Favorinus, ● ,refers to, ● ,N_Anaximander
 ● ,N_Favorinus, ● ,refers to, ● ,N_Aristotle
 ● ,N_Favorinus, ● ,refers to, ● ,N_Antigonus III
 ● ,N_Glaucon, ● ,is family of, ● ,N_Plato
 ● ,N_Glaucon II, ● ,is family of, ● ,N_Plato
 ● ,N_Glaucon II, ● ,is from, ● ,G_Athenae
 ● ,N_Glauconides, ● ,is associated with, ● ,N_Socrates
 ● ,N_Glaucos, ● ,refers to, ● ,N_Empedocles
 ● ,N_Glaucus, ● ,is from, ● ,G_Rhegium
 ● ,N_Gorgiadas, ● ,is family of, ● ,N_Leophantus
 ● ,N_Gorgiadas, ● ,is from, ● ,G_Lebedos/Ptolemais
 ● ,N_Gorgiadas, ● ,is from, ● ,G_Ephesus
 ● ,N_Gorgias, ● ,is from, ● ,G_Leontini
 ● ,N_Gorgias, ● ,is friend of, ● ,N_Cyrus II
 ● ,N_Gorgias, ● ,is teacher of, ● ,N_Proxenus
 ● ,N_Gryllus, ● ,is family of, ● ,N_Diodorus V
 ● ,N_Gryllus, ● ,traveled to, ● ,G_Mantinea
 ● ,N_Gryllus, ● ,is family of, ● ,N_Gryllus III?
 ● ,N_Gryllus, ● ,traveled to, ● ,G_Lepreum
 ● ,N_Gryllus, ● ,is family of, ● ,N_Philesia
 ● ,N_Gryllus, ● ,traveled to, ● ,G_Corinth
 ● ,N_Gryllus, ● ,traveled to, ● ,G_Athenae
 ● ,N_Gymnosophists, ● ,is from, ● ,G_India
 ● ,N_Halcyoneus, ● ,is family of, ● ,N_Antigonus III
 ● ,N_Hecataeus, ● ,is from, ● ,G_Abdera
 ● ,N_Hecato, ● ,refers to, ● ,N_Chrysippus
 ● ,N_Hecato, ● ,refers to, ● ,N_Cleanthes
 ● ,N_Hecato, ● ,refers to, ● ,N_Zeno II
 ● ,N_Hegesias III, ● ,is family of, ● ,N_Hipparchus
 ● ,N_Hegesilaus, ● ,is associated with, ● ,N_Gryllus
 ● ,N_Hegesilaus, ● ,traveled to, ● ,G_Mantinea
 ● ,N_Hegesinus, ● ,is associated with, ● ,N_Evander
 ● ,N_Hegesinus, ● ,is from, ● ,G_Pergamum
 ● ,N_Hegesistratus, ● ,is associated with, ● ,N_Xerxes
 ● ,N_Hemon, ● ,is from, ● ,G_Chios (island)
 ● ,N_Heraclides, ● ,is from, ● ,G_Pontus
 ● ,N_Heraclides, ● ,is family of, ● ,N_Serapion
 ● ,N_Heraclides, ● ,studied the work of, ● ,N_Plato
 ● ,N_Heraclides, ● ,is adversary of, ● ,N_Persaeus
 ● ,N_Heraclides, ● ,is from, ● ,G_Heraclea
 ● ,N_Heraclides, ● ,refers to, ● ,N_Empedocles
 ● ,N_Heraclides, ● ,refers to, ● ,N_Periander
 ● ,N_Heraclides, ● ,refers to, ● ,N_Thales
 ● ,N_Heraclides, ● ,refers to, ● ,N_Zeno II
 ● ,N_Heraclides, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Heraclides, ● ,refers to, ● ,N_Homer
 ● ,N_Heraclides, ● ,refers to, ● ,N_Stilpo
 ● ,N_Heraclides, ● ,refers to, ● ,N_Artemon
 ● ,N_Heraclides, ● ,traveled to, ● ,G_Athenae
 ● ,N_Heraclides, ● ,refers to, ● ,N_Pausanias
 ● ,N_Heraclides II, ● ,refers to, ● ,N_Demetrius
 ● ,N_Heraclides II, ● ,is from, ● ,G_Callatis
 ● ,N_Heraclides II, ● ,is associated with, ● ,N_Satyrus
 ● ,N_Heraclides II, ● ,is from, ● ,G_Alexandria at Egypt
 ● ,N_Heraclides II, ● ,refers to, ● ,N_Ptolemy
 ● ,N_Heraclides IV, ● ,is from, ● ,G_Tarsus
 ● ,N_Heraclides of Serapion, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Heraclides of Serapion, ● ,is family of, ● ,N_Serapion
 ● ,N_Heracliteans, ● ,studied the work of, ● ,N_Heraclitus
 ● ,N_Heraclitus, ● ,is from, ● ,G_Ephesus
 ● ,N_Heraclitus, ● ,is family of, ● ,N_Bloson
 ● ,N_Heraclitus, ● ,refers to, ● ,N_Bias
 ● ,N_Heraclitus, ● ,refers to, ● ,N_Teutames
 ● ,N_Heraclitus, ● ,is adversary of, ● ,N_Athenians
 ● ,N_Heraclitus, ● ,refers to, ● ,N_Archilochus
 ● ,N_Heraclitus, ● ,is family of, ● ,N_Heracon
 ● ,N_Heraclitus, ● ,is friend of, ● ,N_Hermodorus
 ● ,N_Heraclitus, ● ,is teacher of, ● ,N_Xenophanes
 ● ,N_Heraclitus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Heraclitus, ● ,refers to, ● ,N_Homer
 ● ,N_Heraclitus, ● ,refers to, ● ,N_Hecataeus
 ● ,N_Heraclitus, ● ,refers to, ● ,N_Hesiod
 ● ,N_Heraclitus, ● ,is associated with, ● ,N_Ephesians
 ● ,N_Heraclitus, ● ,refers to, ● ,N_Thales
 ● ,N_Heraclitus III, ● ,is from, ● ,G_Halicarnassus
 ● ,N_Heraclitus IV, ● ,is from, ● ,G_Lesbos
 ● ,N_Heraclitus IV, ● ,is associated with, ● ,G_Macedonia
 ● ,N_Herillus, ● ,is from, ● ,G_Carthago
 ● ,N_Hermias, ● ,is adversary of, ● ,N_Eubulus III
 ● ,N_Hermias, ● ,is from, ● ,G_Bithynia
 ● ,N_Hermias, ● ,is family of, ● ,NF_Concubine of Hermias
 ● ,N_Hermippus, ● ,refers to, ● ,N_Eudoxus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Aristodemus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Zeus
 ● ,N_Hermippus, ● ,refers to, ● ,G_Boeotia
 ● ,N_Hermippus, ● ,refers to, ● ,N_Antigonus III
 ● ,N_Hermippus, ● ,refers to, ● ,N_Strymon
 ● ,N_Hermippus, ● ,refers to, ● ,NF_Berenice
 ● ,N_Hermippus, ● ,refers to, ● ,N_Thales
 ● ,N_Hermippus, ● ,refers to, ● ,N_Demetrius
 ● ,N_Hermippus, ● ,refers to, ● ,N_Theophrastus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Philolaus
 ● ,N_Hermippus, ● ,is from, ● ,G_Samos
 ● ,N_Hermippus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Hermippus, ● ,refers to, ● ,N_Pherecydes
 ● ,N_Hermippus, ● ,refers to, ● ,NF_Eurydice
 ● ,N_Hermippus, ● ,refers to, ● ,N_Periander
 ● ,N_Hermippus, ● ,refers to, ● ,N_Acusilaus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Arcesilaus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Eubulides
 ● ,N_Hermippus, ● ,refers to, ● ,N_Zeno
 ● ,N_Hermippus, ● ,refers to, ● ,N_Cleobulus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Empedocles
 ● ,N_Hermippus, ● ,refers to, ● ,N_Anacharsis
 ● ,N_Hermippus, ● ,refers to, ● ,N_Isocrates
 ● ,N_Hermippus, ● ,refers to, ● ,N_Lyco
 ● ,N_Hermippus, ● ,refers to, ● ,N_Epimenides
 ● ,N_Hermippus, ● ,refers to, ● ,N_Aristotle
 ● ,N_Hermippus, ● ,refers to, ● ,N_Democritus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Chrysippus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Pericles
 ● ,N_Hermippus, ● ,refers to, ● ,N_Polycrates II
 ● ,N_Hermippus, ● ,refers to, ● ,N_Myson
 ● ,N_Hermippus, ● ,refers to, ● ,N_Heraclides
 ● ,N_Hermippus, ● ,refers to, ● ,N_Anaxagoras
 ● ,N_Hermippus, ● ,refers to, ● ,N_Ptolemy
 ● ,N_Hermippus, ● ,refers to, ● ,N_Leophantus
 ● ,N_Hermippus, ● ,studied the work of, ● ,N_Timaeus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Lasos
 ● ,N_Hermippus, ● ,refers to, ● ,N_Pittacus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Bias
 ● ,N_Hermippus, ● ,refers to, ● ,N_Chilon
 ● ,N_Hermippus, ● ,refers to, ● ,N_Menedemus
 ● ,N_Hermippus, ● ,refers to, ● ,N_Stilpo
 ● ,N_Hermodamas, ● ,is friend of, ● ,N_Pythagoras
 ● ,N_Hermogenes II, ● ,is family of, ● ,N_Ctesippus
 ● ,N_Hermolaus, ● ,is associated with, ● ,N_Callisthenes
 ● ,N_Hermolaus, ● ,is adversary of, ● ,N_Alexander
 ● ,N_Hermotimus, ● ,traveled to, ● ,G_Didyma/Branchidai/Ioustinianopolis
 ● ,N_Hermotimus, ● ,is associated with, ● ,N_Pyrrhus
 ● ,N_Herodotus, ● ,refers to, ● ,N_Thales
 ● ,N_Herodotus, ● ,refers to, ● ,N_Hegesistratus
 ● ,N_Herodotus, ● ,refers to, ● ,N_Xerxes
 ● ,N_Herodotus, ● ,refers to, ● ,N_Zamolxis
 ● ,N_Herodotus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Herodotus, ● ,refers to, ● ,N_Periander
 ● ,N_Herodotus, ● ,refers to, ● ,N_Hippocrates II
 ● ,N_Herodotus, ● ,refers to, ● ,N_Chilon
 ● ,N_Herodotus, ● ,refers to, ● ,N_Thrasybulus
 ● ,N_Hesiod, ● ,is adversary of, ● ,N_Cercops
 ● ,N_Hesiod, ● ,traveled to, ● ,G_Hades (Place)
 ● ,N_Hicetas, ● ,is from, ● ,G_Syracuse
 ● ,N_Hierocles, ● ,traveled to, ● ,G_Piraeus
 ● ,N_Hierocles, ● ,traveled to, ● ,G_Amphiareion
 ● ,N_Hierocles, ● ,traveled to, ● ,G_Munichia
 ● ,N_Hieronymus, ● ,refers to, ● ,N_Myrto
 ● ,N_Hieronymus, ● ,refers to, ● ,N_Anaxagoras
 ● ,N_Hieronymus, ● ,is adversary of, ● ,N_Arcesilaus
 ● ,N_Hieronymus, ● ,is from, ● ,G_Rhodos (island)
 ● ,N_Hieronymus, ● ,refers to, ● ,N_Thales
 ● ,N_Hieronymus, ● ,refers to, ● ,N_Phaedo
 ● ,N_Hieronymus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Hieronymus, ● ,refers to, ● ,NF_Xanthippe
 ● ,N_Hieronymus, ● ,refers to, ● ,N_Pericles
 ● ,N_Hieronymus, ● ,refers to, ● ,N_Scythinus
 ● ,N_Hieronymus, ● ,is adversary of, ● ,N_Lyco
 ● ,N_Hieronymus, ● ,refers to, ● ,N_Socrates
 ● ,N_Hipparchus, ● ,refers to, ● ,N_Democritus
 ● ,N_Hippasus, ● ,is teacher of, ● ,N_Empedocles
 ● ,N_Hippasus, ● ,is from, ● ,G_Metapontum
 ● ,N_Hippasus, ● ,is adversary of, ● ,N_Pythagoras
 ● ,N_Hippasus III, ● ,is from, ● ,G_Lacedaemon/Laconia
 ● ,N_Hippias, ● ,refers to, ● ,N_Thales
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Linus
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Cleobulus
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Athenodorus
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Bias
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Thales
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Posidonius II
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Orpheus
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Zeno II
 ● ,N_Hippobotus, ● ,is associated with, ● ,N_Empedocles
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Solon
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Periander
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Myson
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Zeno IX
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Democritus
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Diodorus
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Philonides
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Anacharsis
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Epicharmus
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Callippus II
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Pittacus
 ● ,N_Hippobotus, ● ,refers to, ● ,N_Heraclides
 ● ,N_Hippocrates, ● ,is associated with, ● ,N_Democritus
 ● ,N_Hippocrates II, ● ,traveled to, ● ,G_Olympian Zeus sanctuary (Eleia)
 ● ,N_Hipponax, ● ,refers to, ● ,N_Bias
 ● ,N_Hipponax, ● ,refers to, ● ,N_Myson
 ● ,N_Hipponicus, ● ,is friend of, ● ,N_Asclepiades
 ● ,N_Hipponicus, ● ,is friend of, ● ,N_Menedemus
 ● ,N_Hipponicus, ● ,is from, ● ,G_Macedonia
 ● ,N_Hipponicus II, ● ,is teacher of, ● ,N_Arcesilaus
 ● ,N_Homer, ● ,is associated with, ● ,N_Pyrrhoneans
 ● ,N_Homer, ● ,is adversary of, ● ,N_Syagrus
 ● ,N_Homer, ● ,traveled to, ● ,G_Hades (Place)
 ● ,N_Hyrrhadius, ● ,is family of, ● ,N_Pittacus
 ● ,N_Hyrrhadius, ● ,is from, ● ,G_Thrace
 ● ,N_Ichthyas, ● ,is family of, ● ,N_Metallus
 ● ,N_Idomeneus, ● ,refers to, ● ,N_Aristippus
 ● ,N_Idomeneus, ● ,refers to, ● ,N_Plato
 ● ,N_Idomeneus, ● ,refers to, ● ,N_Crito
 ● ,N_Idomeneus, ● ,refers to, ● ,N_Socrates
 ● ,N_Idomeneus, ● ,refers to, ● ,N_Aeschines
 ● ,N_Ion, ● ,refers to, ● ,N_Orpheus
 ● ,N_Ion, ● ,refers to, ● ,N_Pherecydes
 ● ,N_Ion, ● ,refers to, ● ,N_Socrates
 ● ,N_Ion, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Ion, ● ,refers to, ● ,N_Archelaus
 ● ,N_Ion, ● ,is from, ● ,G_Chios (island)
 ● ,N_Iphicrates, ● ,is associated with, ● ,N_Socrates
 ● ,N_Isidorus, ● ,is adversary of, ● ,N_Zeno II
 ● ,N_Isocrates, ● ,is teacher of, ● ,N_Anaxagoras II
 ● ,N_Isocrates, ● ,refers to, ● ,N_Gryllus
 ● ,N_Istrus, ● ,refers to, ● ,N_Xenophon
 ● ,N_Istrus, ● ,refers to, ● ,N_Eubulus V
 ● ,N_Justus, ● ,refers to, ● ,N_Plato
 ● ,N_Justus, ● ,refers to, ● ,G_Athenae
 ● ,N_Justus, ● ,refers to, ● ,N_Socrates
 ● ,N_Justus, ● ,is from, ● ,G_Tiberias
 ● ,N_Lacademonian, ● ,is associated with, ● ,G_Lacedaemon/Laconia
 ● ,N_Lacydes, ● ,is from, ● ,G_Cyrene
 ● ,N_Lacydes, ● ,is teacher of, ● ,N_Chrysippus
 ● ,N_Lacydes, ● ,is family of, ● ,N_Alexander III
 ● ,N_Lacydes, ● ,is associated with, ● ,N_Arcesilaus
 ● ,N_Lacydes, ● ,is associated with, ● ,N_Attalus
 ● ,N_Lamprocles, ● ,is family of, ● ,N_Sophroniscus II
 ● ,N_Lamprocles, ● ,is family of, ● ,N_Aristides
 ● ,N_Lamprocles, ● ,is family of, ● ,N_Myrto
 ● ,N_Lamprocles, ● ,is family of, ● ,N_Socrates
 ● ,N_Lamprocles, ● ,is family of, ● ,NF_Xanthippe
 ● ,N_Lamprocles, ● ,is family of, ● ,N_Menexenus
 ● ,N_Lasos, ● ,is from, ● ,G_Hermion(e)
 ● ,N_Leon, ● ,refers to, ● ,N_Pythagoras
 ● ,N_Leon, ● ,is from, ● ,G_Phlius
 ● ,N_Leon II, ● ,is associated with, ● ,N_Socrates
 ● ,N_Leon II, ● ,is from, ● ,G_Salamis
 ● ,N_Leptines, ● ,is family of, ● ,N_Glaucus II
 ● ,N_Leucippus, ● ,is from, ● ,G_Elea
 ● ,N_Leucippus, ● ,is from, ● ,G_Miletus
 ● ,N_Lobon, ● ,is from, ● ,G_Argos
 ● ,N_Lobon, ● ,refers to, ● ,N_Thales
 ● ,N_Lobon, ● ,refers to, ● ,N_Epimenides
 ● ,N_Lucanians, ● ,is associated with, ● ,N_Pythagoras
 ● ,N_Lucanians, ● ,is from, ● ,G_Lucania
 ● ,N_Lyco, ● ,is from, ● ,G_Troas
 ● ,N_Lyco, ● ,is associated with, ● ,N_Strato
 ● ,N_Lyco, ● ,is family of, ● ,N_Astyanax
 ● ,N_Lyco II, ● ,is family of, ● ,N_Lyco
 ● ,N_Lycon, ● ,is adversary of, ● ,N_Socrates
 ● ,N_Lycon III, ● ,refers to, ● ,N_Aristotle
 ● ,N_Lycophron, ● ,traveled to, ● ,G_Corcyra
 ● ,N_Lycophron, ● ,is family of, ● ,NF_Lysida
 ● ,N_Lycophron, ● ,is family of, ● ,N_Periander
 ● ,N_Lycophron, ● ,is family of, ● ,N_Cypselus II
 ● ,N_Lycophron II, ● ,refers to, ● ,N_Menedemus
 ● ,N_Lysias, ● ,refers to, ● ,N_Solon
 ● ,N_Lysias, ● ,refers to, ● ,N_Aeschines
 ● ,N_Lysias, ● ,is friend of, ● ,N_Socrates
 ● ,N_Lysias, ● ,refers to, ● ,N_Draco
