Source,Target,Relation
Favorinus,Polyeuctus,refers to
Hermippus,Stilpo,refers to
Eudoxus,Seven Sages,refers to
Hermippus,Arcesilaus,refers to
Antigonus III,Lyco,refers to
Demetrius III,Epimenides,refers to
Satyrus,Xanthippe,refers to
Satyrus,Lycurgus,refers to
Favorinus,Alcmaeon II,refers to
Aristippus II,Periander,refers to
Apollodorus,Eudoxus,refers to
Myroianus,Xenocrates,refers to
Hermippus,Berenice,refers to
Scythinus,Persephone,refers to
Timon,Pythagoras,refers to
Crates II,Menedemus,refers to
Timon,Arcesilaus,refers to
Aristippus,Xenophon,refers to
Thrasylus,Demetrius,refers to
Sotion,Pericles,refers to
Hermippus,Demetrius,refers to
Athenodorus,Theophrastus,refers to
Demetrius,Aristotle,refers to
Sosicrates,Aristippus,refers to
Antiphon,Pythagoras,refers to
Epicurus,Protagoras,refers to
Hipparchus,Democritus,refers to
Heraclides of Serapion,Pythagoras,refers to
Hippobotus,Linus,refers to
Diocles,Pleistarchus,refers to
Epicurus,Zeno II,refers to
Anaxilaus,Myson,refers to
Leon,Pythagoras,refers to
Dinarchus,Sparta,refers to
Diocles,Polemo,refers to
Timon,Aeschines,refers to
Eratosthenes,Pherecydes,refers to
Anaximenes,Seven Sages,refers to
Anticlides,Moeris,refers to
Ambryon,Borboros,refers to
Apollodorus,Plato,refers to
Antigonus,Zeno II,refers to
Dionysodorus,Socrates,refers to
Theodorus,Semele,refers to
Eratosthenes,Pyrrho,refers to
Aristippus,Socrates,refers to
Aristotle,Gryllus II,refers to
Antishenes,Zeno,refers to
Pamphila,Alcibiades,refers to
Hermippus,Pericles,refers to
Antishenes,Democritus,refers to
Aristippus,Pausanians,refers to
Hipponax,Myson,refers to
Heraclides,Empedocles,refers to
Hermippus,Philolaus,refers to
Hermippus,Theophrastus,refers to
Callimachus,Euphorbus,refers to
Pamphila,Socrates,refers to
Diodorus IV,Speusippus,refers to
Empedocles,Nestis,refers to
Socrates,Prytaneum,refers to
Callias II,Socrates,refers to
Heraclides,Zeno II,refers to
Demetrius,Diogenes,refers to
Hermippus,Antigonus III,refers to
Hermippus,Eudoxus,refers to
Aristotle,Euathlus,refers to
Theophrastus,Parmenides,refers to
Aristippus VI,Hermias,refers to
Antisthenes II,Phemonoe,refers to
Hippobotus,Athenodorus,refers to
Hermippus,Periander,refers to
Pamphila,Periander,refers to
Aristippus II,Xenocrates,refers to
Hecato,Cleanthes,refers to
Satyrus,Seven Sages,refers to
Timon,Thales,refers to
Eudemus,Thales,refers to
Panaetius,Epicurus,refers to
Timaeus,Heraclides,refers to
Timaeus,Nicomachus III,refers to
Apollodorus,Anaximenes,refers to
Herodotus,Democritus,refers to
Cratinus,Solon,refers to
Demetrius III,Alexander,refers to
Antishenes,Diogenes,refers to
Apollodorus,Xenophanes,refers to
Lycophron II,Menedemus,refers to
Hippobotus,Zeno II,refers to
Hippobotus,Callippus II,refers to
Callimachus,Eudoxus,refers to
Diocles,Ariston IV,refers to
Sotion,Arcesilaus,refers to
Hermippus,Lasos,refers to
Antigonus,Crates,refers to
Myronianus,Xenocrates,refers to
Aristoxenus,Heraclides,refers to
Favorinus,Hermias,refers to
Favorinus,Speusippus,refers to
Diogenes II,Ichthyas,refers to
Hermippus,Eurydice,refers to
Caeneus,Speusippus,refers to
Hermippus,Pythagoras,refers to
Dicaearchus,Bias,refers to
Ephorus,Mantinea,refers to
Alexander,Pythagoras,refers to
Demetrius,Democritus,refers to
Pamphila,Theophrastus,refers to
Euanthes,Chilon,refers to
Eugamus,Menodorus,refers to
Demetrius,Zeno,refers to
Panaetius,Phaedo,refers to
Plato,Theaetetus,refers to
Aristotle,Delos,refers to
Sotion,Periander,refers to
Parmenides,Myson,refers to
Timaeus,Permenides,refers to
Demetrius III,Elis,refers to
Aristotle,Protagoras,refers to
Satyrus,Anaxagoras,refers to
Favorinus,Pythagoras,refers to
Philochorus,Protagoras,refers to
Apollodorus,Protagoras,refers to
Aristotle,Gryllion,refers to
Eratosthenes,Bion,refers to
Speusippus,Parmenides,refers to
Democritus,Thales,refers to
Idomeneus,Crito,refers to
Demetrius III,Cleanthes,refers to
Silenus,Anaxagoras,refers to
Euclides,Crito,refers to
Dicaearchus,Periander,refers to
Heraclitus,Hecataeus,refers to
Theophrastus,Phanias,sent letters to
Strato,Arsinoe,sent letters to
Ptolemy II,Chrysippus,sent letters to
Periander,Procles,sent letters to
Eratosthenes,Baton,sent letters to
Carneades,Ariarathes,sent letters to
Archytas,Plato,sent letters to
Lysis II,Hippasus,sent letters to
Anacharsis,Croesus,sent letters to
Pittacus,Croesus,sent letters to
Cleobulus,Solon,sent letters to
Solon,Periander,sent letters to
Telauges,Philolaus,sent letters to
Menedemus,Demetrius,sent letters to
Arcesilaus,Antigonus III,sent letters to
Darius,Heraclitus,sent letters to
Solon,Epimenides,sent letters to
Timonides,Speusippus,sent letters to
Periander,Wise Men,sent letters to
Thales,Solon,sent letters to
Thales,Pherecydes,sent letters to
Aeschines,Dionysius II,sent letters to
Simon,Pericles,sent letters to
Dionysius,Speusippus,sent letters to
Agesilaus,Nectanabis,sent letters to
Anaximenes,Pythagoras,sent letters to
Chilon,Periander,sent letters to
Heracliteans,Heraclitus,studied the work of
Arcesilaus,Callicrates,studied the work of
Hermippus,Timaeus,studied the work of
Socrates,Pythagoras,studied the work of
Polemo,Sophocles,studied the work of
Lasthenia,Plato,studied the work of
Arcesilaus,Archecrates,studied the work of
Arcesilaus,Sophocles,studied the work of
Epicurus,Theodorus,studied the work of
Carneades,Chrysippus,studied the work of
Scythinus,Heraclitus,studied the work of
Crantor,Antagoras,studied the work of
Dionysius IV,Aratus,studied the work of
Heraclitus,Xenophanes,studied the work of
Crates,Homer,studied the work of
Aristotle,Speusippus,studied the work of
Socrates,Aesop,studied the work of
Aeschines,Gorgias,studied the work of
Crantor,Homer,studied the work of
Zeno II,Antisthenes II,studied the work of
Polemo,Homer,studied the work of
Athenodorus II,Zeno II,studied the work of
Euripides,Heraclitus,studied the work of
Arcesilaus,Pyrrho,studied the work of
Epicurus,Pyrrho,studied the work of
Heraclides,Plato,studied the work of
Arcesilaus,Pindar,studied the work of
Arcesilaus,Plato,studied the work of
Crantor,Euripides,studied the work of
Socrates,Heraclitus,studied the work of
Arcesilaus,Diodorus,studied the work of
Plato,Pittacus,studied the work of
Empedocles,Xenophanes,studied the work of
Xenophon,Thucydides II,studied the work of
Zeno II,Xenophon,studied the work of
Aeschines,Antishenes,studied the work of
Arcesilaus,Homer,studied the work of
Satyrus,Gorgias,studied the work of
Diodorus III,Anaximander,studied the work of
Arcesilaus,Euripides,studied the work of
Crates XII,Heraclitus,studied the work of
Daimachus,Plato,studied the work of
Empedocles,Permenides,studied the work of
Theomedon,Piraeus,traveled to
Xenophon,Hellas,traveled to
Antigonus III,Athenae,traveled to
Xenocrates,Academy of Plato (Athens),traveled to
Menedemus,Elis,traveled to
Thales,Ancient Egypt (region),traveled to
Epicharmus,Megara (Attica),traveled to
Democritus,Persia,traveled to
Aristippus,Megara (Attica),traveled to
Solon,Creta,traveled to
Nileos,Miletus,traveled to
Xenophanes,Zancle,traveled to
Menedemus,Megara (Attica),traveled to
Xenophanes,Elea,traveled to
Carcinus,Syracuse,traveled to
Pyrrho,India,traveled to
Pythagoras,Nestos (river),traveled to
Bion,Athenae,traveled to
Solon,Cilicia,traveled to
Theodorus,Corinth,traveled to
Aristotle,Borboros,traveled to
Diodorus V,Corinth,traveled to
Pyrrho,Alpheios river,traveled to
Protagoras,Sicily,traveled to
Theodorus,Athenae,traveled to
Socrates,Samos,traveled to
Crates XII,Hellas,traveled to
Eudoxus,Piraeus,traveled to
Arcesilaus,Athenae,traveled to
Cleanthes,Athenae,traveled to
Xenophon,Asia,traveled to
Solon,Athenae,traveled to
Hesiod,Hades (Place),traveled to
Asclepiades,Elis,traveled to
Xenophanes,Katane,traveled to
Pherecydes,Olympian Zeus sanctuary (Eleia),traveled to
Theomedon,Athenae,traveled to
Socrates,Phthia,traveled to
Epicharmus,Syracuse,traveled to
Epicharmus,Megara Hyblaea,traveled to
Xenophon,Corinth,traveled to
A Magician,Athenae,traveled to
Eudoxus,Cyzicus,traveled to
Xenophon,Elis,traveled to
Eudoxus,Propontis,traveled to
Eudoxus,Ancient Egypt (region),traveled to
Aeschines,Syracuse,traveled to
Plato,Academy of Plato (Athens),traveled to
Aristotle,Chalcis,traveled to
Solon,Cyprus,traveled to
Empedocles,Peloponnesus,traveled to
Pythagoras,Ancient Egypt (region),traveled to
Pherecydes,Messene,traveled to
Clitomachus,Athenae,traveled to
Anaxagoras,Halicarnassus,traveled to
Socrates,Amphipolis,traveled to
Thales,Creta,traveled to
Menedemus,Amphiareion,traveled to
Stilpo,Aegina,traveled to
Anaxarchus,Cyprus,traveled to
Demetrius XXVIII,Cyrene,traveled to
Epicharmus,Sicily,traveled to
Epaminondas,Mantinea,traveled to
Eudoxus,Memphis (Egypt),traveled to
Chrysippus,Ancient Egypt (region),traveled to
Demosthenes,Calauria,traveled to
Anytus,Heraclea,traveled to
Hermotimus,Didyma/Branchidai/Ioustinianopolis,traveled to
Empedocles,Olympian Zeus sanctuary (Eleia),traveled to
Gryllus II,Mantinea,traveled to
Archytas,Lucania,traveled to
Crantor,Athenae,traveled to
Demetrius,Athenae,traveled to
Pythagoras,Italy,traveled to
Empedocles,Aetna M.,traveled to
Empedocles,Thurii,traveled to
Socrates,Delphi,traveled to
Eudoxus,Athenae,traveled to
Agesilaus,Hellas,traveled to
Arcesilaus,Demetrias (Magnesia),traveled to
Aeschines,Sicily,traveled to
Zeno II,Piraeus,traveled to
Demetrius,Alexandria at Egypt,traveled to
Aeschines,Megara (Attica),traveled to
Empedocles,Messene,traveled to
Lycophron,Corcyra,traveled to
Anaxagoras,Athenae,traveled to
Empedocles,Hades (Place),traveled to
Xenophon,Skillous,traveled to
Empedocles,Syracuse,traveled to
Pythagoras,Creta,traveled to
Speusippus,Macedonia,traveled to
Pythagoras,Crotone,traveled to
Alexinus,Olympian Zeus sanctuary (Eleia),traveled to
Xenophon,Lepreum,traveled to
Pylades II,Chios (island),traveled to
Gryllus II,Corinth,traveled to
Agrigentines,Taras/Tarentum/Neptunia,traveled to
Pherecydes,Delos,traveled to
Bion,Rhodos (island),traveled to
Pythagoras,Hades (Place),traveled to
Thales,Athenae,traveled to
Aristotle,Macedonia,traveled to
Plato,Sicily,traveled to
Homer,Hades (Place),traveled to
Democritus,Ancient Egypt (region),traveled to
Aristotle,Athenae,traveled to
Democritus,India,traveled to
Aristotle,Lyceum (Athens),traveled to
Pythagoras,Metapontum,traveled to
Hegesilaus,Mantinea,traveled to
Epimenides,Ida,traveled to
Arcesilaus,Sardis,traveled to
Diodorus,Alexandria at Egypt,traveled to
Archelaus,Samos,traveled to
Pythagoras,Ida,traveled to
Diodorus V,Lepreum,traveled to
Pylades II,Athenae,traveled to
Solon,Ancient Egypt (region),traveled to
Anacharsis,Athenae,traveled to
Autolycus,Sardis,traveled to
Lysis II,Thebes,traveled to
Asclepiades,Eretria,traveled to
Aristippus,Corinth,traveled to
Aristippus,Athenae,traveled to
Sphaerus,Alexandria at Egypt,traveled to
Hierocles,Piraeus,traveled to
Anacharsis,Sardis,traveled to
Chilon,Pisa,traveled to
Pythagoras,Delos,traveled to
Socrates,Potidaea,traveled to
Hierocles,Amphiareion,traveled to
Xenophon,Delium,traveled to
Aristotle,Academy of Plato (Athens),traveled to
Hippocrates II,Olympian Zeus sanctuary (Eleia),traveled to
Anaxagoras,Lampsacus,traveled to
Alcibiades,Potidaea,traveled to
Socrates,Isthmus,traveled to
Zeno II,Athenae,traveled to
Aristippus,Asia,traveled to
Democritus,Red Sea,traveled to
Anaxagoras,Ionia region (Asia Minor),traveled to
Epimenides,Athenae,traveled to
Metrocles,Corinth,traveled to
Antigonus,Lysimachia,traveled to
Cephisodorus,Mantinea,traveled to
Anaxagoras,Olympian Zeus sanctuary (Eleia),traveled to
Menedemus,Oropus,traveled to
Xenocrates,Sicily,traveled to
Democritus,Aethiopia,traveled to
Proxenus,Sardis,traveled to
Stilpo,Athenae,traveled to
Pherecydes,Samos,traveled to
Pherecydes,Delphi,traveled to
Xenophon,Pontus,traveled to
Hierocles,Munichia,traveled to
Aristotle,Mitylene,traveled to
Pythagoras,Lesbos,traveled to
Socrates,Delium,traveled to
Philesia,Elis,traveled to
Protagoras,Athenae,traveled to
Heraclides,Athenae,traveled to
Gryllus II,Lepreum,traveled to
Eudoxus III,Athenae,traveled to
Diodorus V,Skillous,traveled to
